"Yes, allow members to comment on experiences.";"Yes, allow members to comment on experiences."
"No, do not allow members to comment on experiences.";"No, do not allow members to comment on experiences."
"Experience Entry Privacy";"Experience Entry Privacy"
"Your members can choose from any of the options checked below when they decide who can see their experience entries. These options appear on your members' ""Add Entry"" and ""Edit Entry"" pages. If you do not check any options, everyone will be allowed to view experiences.";"Your members can choose from any of the options checked below when they decide who can see their experience entries. These options appear on your members' ""Add Entry"" and ""Edit Entry"" pages. If you do not check any options, everyone will be allowed to view experiences."
"Experience Comment Options";"Experience Comment Options"
"Your members can choose from any of the options checked below when they decide who can post comments on their entries. If you do not check any options, everyone will be allowed to post comments on entries.";"Your members can choose from any of the options checked below when they decide who can post comments on their entries. If you do not check any options, everyone will be allowed to post comments on entries."
"Allow Custom CSS Styles?";"Allow Custom CSS Styles?"
"If you enable this feature, your members will be able to customize the colors and fonts of their experiences by altering their CSS styles.";"If you enable this feature, your members will be able to customize the colors and fonts of their experiences by altering their CSS styles."
"Yes, enable custom CSS styles.";"Yes, enable custom CSS styles."
"No, disable custom CSS styles.";"No, disable custom CSS styles."
"HTML in Experience Entries?";"HTML in Experience Entries?"
"If you want to allow specific HTML tags, you can enter them below (separated by commas). Example: b, img, a, embed, font";"If you want to allow specific HTML tags, you can enter them below (separated by commas). Example: b, img, a, embed, font"
"strong, b, em, i, u, strike, sub, sup, p, div, pre, address, h1, h2, h3, h4, h5, h6, span, ol, li, ul, a, img, embed, br, hr";"strong, b, em, i, u, strike, sub, sup, p, div, pre, address, h1, h2, h3, h4, h5, h6, span, ol, li, ul, a, img, embed, br, hr"
"Maximum Allowed Experience Entries?";"Maximum Allowed Experience Entries?"
"Enter the maximum number of allowed experience entries. The field must contain an integer between 1 and 999, or 0 for unlimited.";"Enter the maximum number of allowed experience entries. The field must contain an integer between 1 and 999, or 0 for unlimited."
"You are already subscribed to this member's experience.";"You are already subscribed to this member's experience."
"Subscribe?";"Subscribe?"
"Would you like to subscribe to this member's experience?";"Would you like to subscribe to this member's experience?"
"Subscribe";"Subscribe"
"You are now subscribed to this member's experience.";"You are now subscribed to this member's experience."
"You are already not subscribed to this member's experience.";"You are already not subscribed to this member's experience."
"Unsubscribe?";"Unsubscribe?"
"Would you like to unsubscribe from this member's experience?";"Would you like to unsubscribe from this member's experience?"
"Unsubscribe";"Unsubscribe"
"You are no longer subscribed to this member's experience.";"You are no longer subscribed to this member's experience."
"Share";"Share"
"Edit This Entry";"Edit This Entry"
"View All Entries";"View All Entries"
"Report";"Report"
"Delete This Entry";"Delete This Entry"
"The category was deleted successfully.";"The category was deleted successfully."
"The category was added successfully.";"The category was added successfully."
"The category was modified successfully.";"The category was modified successfully."
"No identifier specified";"No identifier specified"
"Advanced Experiences Plugin";"Advanced Experiences Plugin"
"Delete Experience?";"Delete Experience?"
"Are you sure that you want to delete this experience entry? It will not be recoverable after being deleted.";"Are you sure that you want to delete this experience entry? It will not be recoverable after being deleted."
"Delete";"Delete"
"Delete the selected experience(s)?";"Delete the selected experience(s)?"
"Are you sure that you want to delete the %d experience(s)? It will not be recoverable after being deleted.";"Are you sure that you want to delete the %d experience(s)? It will not be recoverable after being deleted."
"Please select a experience to delete.";"Please select a experience to delete."
"Go Back";"Go Back"
"Member Level";"Member Level"
"Experience Entry Categories";"Experience Entry Categories"
"EXPERIENCE_VIEW_SCRIPTS_ADMINSETTINGS_CATEGORIES_DESCRIPTION";"If you want to allow your users to categorize their experience entries, create the categories below. This feature is useful if you want to list all your users' experience entries that If you have no categories, your users will not be given the option of assigning a experience category."
"Category Name";"Category Name"
"Owner";"Owner"
"Number of Times Used";"Number of Times Used"
"Options";"Options"
"edit";"edit"
"delete";"delete"
"There are currently no categories.";"There are currently no categories."
"Add New Category";"Add New Category"
"Add Category";"Add Category"
"Global Settings";"Global Settings"
"Entries Per Page";"Entries Per Page"
"How many experience entries will be shown per page? (Enter a number between 1 and 999)";"How many experience entries will be shown per page? (Enter a number between 1 and 999)"
"Edit Category";"Edit Category"
"Delete Experience Category?";"Delete Experience Category?"
"Are you sure that you want to delete this category? It will not be recoverable after being deleted.";"Are you sure that you want to delete this category? It will not be recoverable after being deleted."
"EXPERIENCE_VIEWS_SCRIPTS_ADMINMANAGE_INDEX_DESCRIPTION";"This page lists all of the experience entries your users have posted. You can use this page to monitor these experiences and delete offensive material if necessary. Entering criteria into the filter fields will help you find specific experience entries. Leaving the filter fields blank will show all the experience entries on your social network."
"Featured";"Featured"
"Views";"Views"
"Date";"Date"
"Options";"Options"
"Delete Selected";"Delete Selected"
"There are no experience entries.";"There are no experience entries."
"view";"view"
"Experience Moderation";"Experience Moderation"
"If set up ""Yes"" admin must approve experiences before user can view it. Otherwise, the experiences are automatically approved.";"If set up ""Yes"" admin must approve experiences before user can view it. Otherwise, the experiences are automatically approved."
"Yes, allow experience moderation mode.";"Yes, allow experience moderation mode."
"No, not allow experience moderation mode.";"No, not allow experience moderation mode."
"Manage Experiences";"Manage Experiences"
"Search";"Search"
"Filter By";"Filter By"
"Approved";"Approved"
"Approve";"Approve"
"Yes";"Yes"
"No";"No"
"approve";"approve"
"unapprove";"unapprove"
"Approve Experience?";"Approve Experience?"
"Unapprove Experience?";"Unapprove Experience?"
"Are you sure that you want to approve this experience entry?";"Are you sure that you want to approve this experience entry?"
"Are you sure that you want to unapprove this experience entry?";"Are you sure that you want to unapprove this experience entry?"
"Unapprove";"Unapprove"
"Unapprove Selected";"Unapprove Selected"
"Approve Selected";"Approve Selected"
"Unapprove the selected experience(s)?";"Unapprove the selected experience(s)?"
"Are you sure that you want to unapprove %d experience(s)?";"Are you sure that you want to unapprove %d experience(s)?"
"Please select a experience to unaprrove.";"Please select a experience to unaprrove."
"Approve the selected experience(s)?";"Approve the selected experience(s)?"
"Are you sure that you want to approve %d experience(s)?";"Are you sure that you want to approve %d experience(s)?"
"Please select a experience to approve.";"Please select a experience to approve."
"All Experiences";"All Experiences"
"Only Featured Experiences";"Only Featured Experiences"
"Only Not Featured Experiences";"Only Not Featured Experiences"
"Only Approved Experiences";"Only Approved Experiences"
"Only Not Approved Experiences";"Only Not Approved Experiences"
"No one has not published any experience entries with that criteria.";"No one has not published any experience entries with that criteria."
"No one has written any experience entries yet.";"No one has written any experience entries yet."
"&#171; Previous";"&#171; Previous"
"Next &#187;";"Next &#187;"
"Experiences Search";"Experiences Search"
"View By Date";"View By Date"
"Tags";"Tags"
"Statistics";"Statistics"
"Active Experienceger";"Active Experienceger";"Active Experiencegers"
"Posted by %1$s";"Posted by %1$s"
"There are no top experiences.";"There are no top experiences."
"View more";"View more"
"Viral Lift";"Viral Lift"
"Shares";"Shares"
"Clicks";"Clicks"
"RSS Experiences";"RSS Experiences"
"There are no commented experiences.";"There are no commented experiences."
"There are no viewed experiences.";"There are no viewed experiences."
"There are no featured experiences yet.";"There are no featured experiences yet."
"member(s)";"member(s)"
"Filled in";"Filled in"
"Become Member";"Become Member"
"Members";"Members"
"Report";"Report"
"Human Verification";"Human Verification"
"Please type the characters you see in the image.";"Please type the characters you see in the image."
"ACTIVITY_TYPE_EXPERIENCE_SUBSCRIBED_NEW";"When someone that I subscribed create a new experience."
"Experience Captcha";"Experience Captcha"
"If set up ""Yes"" captcha will be added to create form to prevent spamming.";"If set up ""Yes"" captcha will be added to create form to prevent spamming."
"Yes, add Captcha when creating a experience.";"Yes, add Captcha when creating a experience."
"No, do not add Captcha when creating a experience.";"No, do not add Captcha when creating a experience."
"show";"show"
"hide";"hide"
"_ACTIVITY_ACTIONTYPE_COMMENT_EXPERIENCE";"When I comments on a experience."
"_ACTIVITY_ACTIONTYPE_LIKE_EXPERIENCE";"When I likes on a experience."
"_ACTIVITY_ACTIONTYPE_EXPERIENCE_NEW";"When I create a experience."
"_ACTIVITY_ACTIONTYPE_EXPERIENCE_IMPORT";"When I import experiences"

"ITEM_TYPE_EXPERIENCE";"Experience Entry"
