"Search Forum";"Tìm kiếm diễn đàn"
"Yes, allow deletion of posts, including other members' posts.";"Yes, allow deletion of posts, including other members' posts."
"Yes, allow deletion of posts.";"Yes, allow deletion of posts."
"No, do not allow forum posts to be deleted.";"No, do not allow forum posts to be deleted."

"Allow HTML in posts?";"Allow HTML in posts?"
"FORUM_FORM_ADMIN_LEVEL_CONTENTHTML_DESCRIPTION";"If you have disabled HTML in posts but want to allow specific tags, you can enter them below (separated by commas). If you have enabled HTML in posts, this setting will have no effect.  Example: b, img, a, embed, font"

"Remove Moderator";"Remove Moderator"
"Are you sure you want to remove this moderator?";"Are you sure you want to remove this moderator?"

"Forum renamed.";"Forum renamed."
"Category added.";"Category added."
"Forum added.";"Forum added."
"Moderator Added";"Moderator Added"
"Moderator Removed";"Moderator Removed"
"Category deleted.";"Category deleted."
"Forum deleted.";"Forum deleted."

"Add Moderator";"Add Moderator"
"Search for a member to add as a moderator for this forum.";"Search for a member to add as a moderator for this forum."

"Add Category";"Add Category"
"Add Forum";"Add Forum"
"move up";"move up"

"Your search returned too many results; only displaying the first 20.";"Your search returned too many results; only displaying the first 20."

"Post New Topic";"Post New Topic"

"Off-Topic";"Off-Topic"
"Off-topic";"Off-topic"
"News and Announcements";"News and Announcements"
"Support";"Support"
"Off-Topic Discussions";"Off-Topic Discussions"
"Introduce Yourself";"Introduce Yourself"
"Suggestions";"Suggestions"

"Manage Forums";"Manage Forums"
"add";"add"
"remove";"remove"

"Last reply by %1$s in %2$s";"Được trả lời lần cuối bởi %1$s trong %2$s"

"Send me notifications when other members reply to this topic.";"Gửi thông báo khi thành viên khác trả lời chủ đề này."


# action type titles
"ADMIN_ACTIVITY_TYPE_FORUM_PROMOTE";"When a user (subject) is given moderator status in a forum (object)."
"ADMIN_ACTIVITY_TYPE_FORUM_TOPIC_CREATE";"When a user (subject) creates a forum topic (object)."
"ADMIN_ACTIVITY_TYPE_FORUM_TOPIC_REPLY";"When a user (subject) replies to a forum topic (object)."

"_ACTIVITY_ACTIONTYPE_FORUM_PROMOTE";"Nâng cấp trên diễn đàn"
"_ACTIVITY_ACTIONTYPE_FORUM_TOPIC_CREATE";"Tạo chủ đề diễn đàn"
"_ACTIVITY_ACTIONTYPE_FORUM_TOPIC_REPLY";"Trả lời chủ đề diễn đàn"

"ACTIVITY_TYPE_FORUM_TOPIC_REPLY";"Khi có trả lời cho chủ đề diễn đàn mà tôi cũng trả lời."
"ACTIVITY_TYPE_FORUM_TOPIC_RESPONSE";"Khi có trả lời cho chủ đề diễn đàn mà tôi tạo."
"ACTIVITY_TYPE_FORUM_PROMOTE";"Khi tôi để trạng thái Mod trong diễn đàn."


# item types
"ITEM_TYPE_FORUM_CATEGORY";"Danh mục diễn đàn"
"ITEM_TYPE_FORUM";"Diễn đàn"
"ITEM_TYPE_FORUM_TOPIC";"Chủ đề diễn đàn"
"ITEM_TYPE_FORUM_POST";"Bài đăng diễn đàn"


# action types
"{item:$subject} has been made a moderator for the forum {item:$object}";"{item:$subject} đã trở thanh Mod của diễn đàn {item:$object}"
"{item:$subject} posted a {item:$object:topic} in the forum {itemParent:$object:forum}: {body:$body}";"{item:$subject} đã đăng một {item:$object:topic} trong diễn đàn {itemParent:$object:forum}: {body:$body}"
"{item:$subject} replied to a {item:$object:topic} in the forum {itemParent:$object:forum}: {body:$body}";"{item:$subject} đã trả lời một {item:$object:topic} trong diễn đàn {itemParent:$object:forum}: {body:$body}"


# notification types
"{item:$subject} has {item:$postGuid:posted} on a {item:$object:forum topic} you created.";"{item:$subject} đã {item:$postGuid:posted} trên một {item:$object:forum topic} bạn đã tạo."
"{item:$subject} has {item:$postGuid:posted} on a {item:$object:forum topic} posted on.";"{item:$subject} đã {item:$postGuid:posted} trên {item:$object:forum topic} đã đăng."
"You were promoted to moderator in the forum {item:$object}.";"Bạn được nâng cấp thành Mod trong diễn đàn {item:$object}."


# mail templates

# notify_forum_topic_reply
"_EMAIL_NOTIFY_FORUM_TOPIC_REPLY_TITLE";"Trả lời chủ đề diễn đàn"
"_EMAIL_NOTIFY_FORUM_TOPIC_REPLY_DESCRIPTION";"Email này được gửi tới thành viên khi có người trả lời cho chủ đề mà họ đã tạo."
"_EMAIL_NOTIFY_FORUM_TOPIC_REPLY_SUBJECT";"Một thành viên đã đăng trả lời cho chủ đề của bạn ""[object_title]"" trong diễn đàn ""[object_parent_title]"""
"_EMAIL_NOTIFY_FORUM_TOPIC_REPLY_BODY";"[header]

[sender_title] đã đăng trả lời cho chủ đề bạn tạo ""[object_title]"" trong diễn đàn ""[object_parent_title]"":

""[message]""

Vui lòng click đường link sau để xem:

http://[host][object_link]

[footer]"

# notify_forum_topic_response
"_EMAIL_NOTIFY_FORUM_TOPIC_RESPONSE_TITLE";"Trả lời chủ đề diễn đàn"
"_EMAIL_NOTIFY_FORUM_TOPIC_RESPONSE_DESCRIPTION";"Email này được gửi tới thành viên khi có người trả lời cho chủ đề mà họ cũng trả lời trên diễn đàn."
"_EMAIL_NOTIFY_FORUM_TOPIC_RESPONSE_SUBJECT";"Một thành viên đã đăng câu trả lời cho chủ đề ""[object_title]"" bạn cũng trả lời trong diễn đàn ""[object_parent_title]"""
"_EMAIL_NOTIFY_FORUM_TOPIC_RESPONSE_BODY";"[header]

[sender_title] đã đăng trả lời cho chủ đề ""[object_title]"" bạn đã trả lời trong diễn đàn ""[object_parent_title]"":

""[message]""

Vui lòng click đường link sau để xem:

http://[host][object_link]

[footer]"

# notify_forum_promote
"_EMAIL_NOTIFY_FORUM_PROMOTE_TITLE";"Nâng cấp trên diễn đàn"
"_EMAIL_NOTIFY_FORUM_PROMOTE_DESCRIPTION";"Email này được gửi khi một thành viên được nâng cấp thành Mod trong diễn đàn."
"_EMAIL_NOTIFY_FORUM_PROMOTE_SUBJECT";"Bạn đã được nâng cấp thành Mod trong diễn đàn [object_title]"
"_EMAIL_NOTIFY_FORUM_PROMOTE_BODY";"[header]

Bạn đã được nâng cấp thành Mod trong diễn đàn ""[object_title]"". Vui lòng click đường link sau để xem:

http://[host][object_link]

[footer]"

"FORUM_FORM_ADMIN_SETTINGS_GLOBAL_FEEDS_DESCRIPTION";"Vui lòng ghi nhớ chỉ những diễn đàn công khai mới được hiển thị trong các hoạt động "
"Display activity in feeds";"Hiển thị những hoạt động trong feeds"
"Main feed";"Main feed"
"Posting Member's Profile";"Posting Member's Profile"

"%1$s said:";"%1$s said:"

"Recent Forum Posts";"Những bài đăng diễn đàn gần đây"
"Recent Forum Topics";"Những chủ đề diễn đàn gần đây"
"Profile Forum Posts";"Hồ sơ bài đăng diễn đàn"
"Profile Forum Topics";"Hồ sơ chủ đề diễn đàn"
