"QUESTION_VIEWS_SCRIPTS_FANCYUPLOAD_ADDPHOTOS";"Click Add Images to select a image from your computer. After you have selected the image, they will begin to upload right away."
"Votes";"Votes"
"Like";"Like"
"Likes";"Likes"
"Answers: %d";"Answers: %d"
"Answers: %d ";"Answers: %d "
"Answers: %d - ";"Answers: %d - "
"Answers: %d.";"Answers: %d."
"Answers: %d  ";"Answers: %d  "
"Answers: %d -";"Answers: %d -"
"Posted by %s about %s";"Posted by %s about %s""
"Category";"Category"
"Likes:%d";"Likes:%d"
"Privacy View";"Privacy View"
"Everyone";"Everyone"
"All Registered Members";"All Registered Members"
"Friends and Networks";"Friends and Networks"
"Friends of Friends";"Friends of Friends"
"Friends Only";"Friends Only"
"Just Me;"Just Me"
"Who may see this question entry?";"Who may see this question entry?"
"Privacy Answer";"Privacy Answer"
"Who may answer to this question entry?";"Who may answer to this question entry?"
"All Registered Members";"All Registered Members"
"Friends and Networks";"Friends and Networks"
"Friends of Friends";"Friends of Friends"
"Friends Only";"Friends Only"
"Just Me";"Just Me"
"Use this button if you think ratings need to be re-calculated.";"Use this button if you think ratings need to be re-calculated."
"No ratings are available yet.";"No ratings are available yet."
"Ratings are being recalculated. Please wait a few minutes.";"Ratings are being recalculated. Please wait a few minutes."
"Global Settings";"Global Settings"
"These settings affect all members in your community.";"These settings affect all members in your community."
"Entries Per Page";"Entries Per Page"
"How many questions or answers will be shown per page? (Enter a number between 1 and 999)";"How many questions or answers will be shown per page? (Enter a number between 1 and 999)"
"Limitation Settings";"Limitation Settings"
"Min points to ask questions";"Min points to ask questions"
"This setting is useful if you want to allow posting questions only if user has already gained some points by posting answers.";"This setting is useful if you want to allow posting questions only if user has already gained some points by posting answers."
"Min points to vote down";"Min points to vote down"
"This setting is used if you want only loyal users to vote down.";"This setting is used if you want only loyal users to vote down."
"Points for the best answer";"Points for the best answer"
"How many points does user get for the best answer.";"How many points does user get for the best answer."
"Points for posted answer";"Points for posted answer"
"How many points does user get for posting an answer.";"How many points does user get for posting an answer."
"Points for posted question";"Points for posted question"
"How many points does user get for posting a question.";"How many points does user get for posting a question."
"Points for thumb up on answer";"Points for thumb up on answer"
"How many points does user get if their question or answer was voted up.";"How many points does user get if their question or answer was voted up."
"Points for thumb down on answer";"Points for thumb down on answer"
"How many points does user lose if their answer was voted down.";"How many points does user lose if their answer was voted down."
"Ask from 'What's New' feed";"Ask from 'What's New' feed"
"Do you want to allow members ask questions from 'What's New' feed?";"Do you want to allow members ask questions from 'What's New' feed?"
"Yes, do this.";"Yes, do this."
"No, thanks.";"No, thanks."
"Member Level Settings";"Member Level Settings"
"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below.";"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below."
"Member Level";"Member Level"
"Browse Questions";"Browse Questions"
"Do you want to allow this user level to view questions?";"Do you want to allow this user level to view questions?"
"Yes, allow this user level to view questions.";"Yes, allow this user level to view questions."
