"Review Information";"Review Information"
"General rating";"General rating"
"Review Specifications";"Review Specifications"
"Summary";"Summary"
"Manage Transactions";"Manage Transactions"
"Transaction ID";"Transaction ID"
"Purchased Date";"Purchased Date"
"Status";"Status"
"Method";"Method"
"Amount";"Amount"
"User";"User"
"Description";"Description"
"There are no transactions.";"There are no transactions."
"%1$s's Profile";"%1$s's Profile"
"<span>%s</span> follower";"<span>%s</span> follower"
"<span>%s</span> view";"<span>%s</span> view";"<span>%s</span> views"
"<span>%s</span> friend";"<span>%s</span> friend"
"Company";"Company"
"Location";"Location"
"Add a workplace";"Add a workplace"
"Current place I'm living";"Current place I'm living"
"Add a place";"Add a place"
"Places I Lived";"Places I Lived"
"Can not found the location.";"Can not found the location."
"Missing location from";"Missing location from"
"Missing location to";"Missing location to"
"Browser doesn't support Geolocation";"Browser doesn't support Geolocation"
"Current location...";"Current location..."
"Get Direction";"Get Direction"
"Destination";"Destination"
"Starting location";"Starting location"
"Enter a location";"Enter a location"
"Get current position";"Get current position"
"Missing location from";"Missing location from"
"Missing location to";"Missing location to"
"Confirm Payment";"Confirm Payment"
"You are about to subscribe to feature member";"You are about to subscribe to feature member"
"Subscribe";"Subscribe"
" or ";" or "
"Add to Featured Members";"Add to Featured Members"
"You have chosen %s day to be featured member.";"You have chosen %s day to be featured member.";"You have chosen %s days to be featured member."
"Select gateway to place order";"Select gateway to place order"
"Pay with";"Pay with"
"Pay with Credit";"Pay with Credit"
"Review Specifications";"Review Specifications"
"Members have birthday on";"Members have birthday on"
"Works at";"Works at"
"Works at ";"Works at "
"Live in";"Live in"
"Lives in ";"Lives in "
"Member of group ";"Member of group "
"Groups:";"Groups:"
"Groups";"Groups"
"and";"and"
"There are no members have birthday today.";"There are no members have birthday today."
"This Member Also Review For";"This Member Also Review For"
"Suggest Friend";"Suggest Friend"
"Suggest friend for";"Suggest friend for"
"No members for suggestion";"No members for suggestion"
"View review";"View review"
"for";"for"
"by";"by"
"Rating";"Rating"
"General rating";"General rating"
" members have reviews";" members have reviews"
"Nobody has reviewed yet.";"Nobody has reviewed yet."
"led by %1$s";"led by %1$s"
"Payment Pending";"Payment Pending"
"Back to Basket";"Back to Basket"
"Payment Complete";"Payment Complete"
"Thank you! Your payment has completed successfully.";"Thank you! Your payment has completed successfully."
"Continue";"Continue"
"Payment half completed";"Payment half completed"
"Back to Home";"Back to Home"
"Payment Failed";"Payment Failed"
"Our payment processor has notified us that your payment could not be completed successfully. We suggest that you try again with another credit card or funding source.";"Our payment processor has notified us that your payment could not be completed successfully. We suggest that you try again with another credit card or funding source."
"Pay with %1$s";"Pay with %1$s"
"Please wait...";"Please wait..."
"There are no members view on this map";"There are no members view on this map"
"View more";"View more"
"<span>%s</span> follower";"<span>%s</span> follower";"<span>%s</span> followers"
"<span>%s</span> friend";"<span>%s</span> friend";"<span>%s</span> friends"
"Last Update:";"Last Update:"
"Joined:";"Joined:"
"Currently work at";"Currently work at"
"Past";"Past"
"No information available";"No information available"
"Featured Expiration Date";"Featured Expiration Date"
"Is a featured member until";"Is a featured member until"
"Feature Profile";"Feature Profile"
"Relationship Status";"Relationship Status"
"since";"since"
"wanted to get notification";"wanted to get notification"
"Browse Members";"Browse Members"
"Browse Reviews";"Browse Reviews"
"Browse Birthday";"Browse Birthday"
"My Friends";"My Friends"
"Featured Members";"Featured Members"
"Member Rating";"Member Rating"
"Search Members";"Search Members"
"Birthday Calendar";"Birthday Calendar"
"Most Reviewed Member";"Most Reviewed Member"
"Most Rating Member";"Most Rating Member"
"People You May Know";"People You May Know"
"Studied at";"Studied at"
"Lives in";"Lives in"
"Name";"Name"
"Enter a location";"Enter a location"
"Radius (mile)";"Radius (mile)"
"Only Members With Photos";"Only Members With Photos"
"Only Online Members";"Only Online Members"
"Search";"Search"
"A - Z";"A - Z"
"Z - A";"Z - A"
"Recent Members";"Recent Members"
"Most Viewed";"Most Viewed"
"Most Liked";"Most Liked"
"Highest Rated";"Highest Rated"
"Least Rated";"LeastRated"
"Most Recent";"Most Recent"
"Most Helpful";"Most Helpful"
"Most Commented";"Most Commented"
"%s mutual friend";"%s mutual friend";"%s mutual friends"
"%s review";"%s review";"%s reviews"
"Show All Reviews";"Show All Reviews"
"Was this useful?";"Was this useful?"
"Yes";"Yes"
"No";"No"
"%s like";"%s like";"%s likes"
"%s comment";"%s comment";"%s comments"
"%s star";"%s star";"%s stars"
"Search Member";"Search Member"
"Keyword";"Keyword"
"Browse By";"Browse By"
"Report";"Report"
"Share";"Share"
"Delete";"Delete"
"Review";"Review"
"Ratings";"Ratings"
"Add Friend";"Add Friend"
"Edit Member Profile";"Edit Member Profile"
"Edit My Profile";"Edit My Profile"
"Admin Settings";"Admin Settings"
"Send Message";"Send Message"
"Remove from Friends";"Remove from Friends"
"Block Member";"Block Member"
"Add to My Friends";"Add to My Friends"
"is a mutual friend";"is a mutual friend"
"%s other";"%s other";"%s others"
"There are no members found yet.";"There are no members found yet."
"_ACTIVITY_ACTIONTYPE_YNMEMBER_RELATIONSHIP";"When I update relationship."
"_ACTIVITY_ACTIONTYPE_YNMEMBER_SHARE";"When I share a member."
"ADMIN_ACTIVITY_TYPE_YNMEMBER_RELATIONSHIP";"When a user (subject) update a relationship."
"ADMIN_ACTIVITY_TYPE_YNMEMBER_SHARE";"When a user (subject) share a member."
"YNCREDIT_ACTION_TYPE_YNMEMBER_RATE";"Rate a member"
"YNCREDIT_MODULE_YNMEMBER";"Advanced Member"

"ACTIVITY_TYPE_YNMEMBER_LIKED";"When someone has just liked you."
"ACTIVITY_TYPE_YNMEMBER_SHARED";"When someone has just shared you."
"ACTIVITY_TYPE_YNMEMBER_SUGGESTED";"When someone has just suggested friends to you."
"ACTIVITY_TYPE_YNMEMBER_RATED";"When someone has just posted a review of you."
"ACTIVITY_TYPE_YNMEMBER_NOTIFICATION_CREATE";"When someone has just created a new item.(For got notification members)"
"ACTIVITY_TYPE_YNMEMBER_NOTIFICATION_FRIENDS";"When someone is now friend with others.(For got notification members)"
"ACTIVITY_TYPE_YNMEMBER_NOTIFICATION_JOIN";"When someone has just joined a group or event.(For got notification members)"
"ACTIVITY_TYPE_YNMEMBER_NOTIFICATION_LINKAGE";"When someone has just changed relationship.(For got notification members)"
"ACTIVITY_TYPE_YNMEMBER_NOTIFICATION_POST";"When someone has just posted something.(For got notification members)"
"ACTIVITY_TYPE_YNMEMBER_NOTIFICATION_STATUS";"When someone has just posted something on activity feed.(For got notification members)"

"ITEM_TYPE_YNMEMBER_RELATIONSHIP";"User relationship"
"ITEM_TYPE_YNMEMBER_REVIEW";"User review"
"ITEM_TYPE_YNMEMBER_RATINGTYPE";"User rating type"
"ITEM_TYPE_YNMEMBER_FEATURE";"User feature"
"ITEM_TYPE_YNMEMBER_ORDER";"User order"
"ITEM_TYPE_YNMEMBER_TRANSACTION";"User transaction"
"ITEM_TYPE_YNMEMBER_RATING";"User rating"
"ITEM_TYPE_YNMEMBER_WORKPLACE";"User workplace"
"ITEM_TYPE_YNMEMBER_LIVEPLACE";"User liveplace"
"ITEM_TYPE_YNMEMBER_LINKAGE";"User linkage"
"ITEM_TYPE_YNMEMBER_STUDYPLACE";"User studyplace"


# notify_ynmember_liked
"_EMAIL_NOTIFY_YNMEMBER_LIKED_TITLE";"Member - Like"
"_EMAIL_NOTIFY_YNMEMBER_LIKED_DESCRIPTION";"When someone has liked a member."
"_EMAIL_NOTIFY_YNMEMBER_LIKED_SUBJECT";"Like Notification"
"_EMAIL_NOTIFY_YNMEMBER_LIKED_BODY";"[header]

[sender_title] has liked you on http://[host]

[footer]"

